Gender,Age,Height,Mean HGS,Risk threshold,Age-group-specific SD
Male,17–19,160–164,44.6,34.9,9.7
Male,17–19,165–169,45.1,35.4,9.7
Male,17–19,170–174,46.5,36.9,9.6
Male,17–19,175–179,47.5,37.8,9.7
Male,17–19,180–184,48.5,38.8,9.7
Male,17–19,185–189,49.3,39.6,9.7
Male,17–19,190+,50.4,40.7,9.7
Male,20–24,160–164,47,38.8,8.2
Male,20–24,165–169,47.8,39.5,8.3
Male,20–24,170–174,49.1,40.8,8.3
Male,20–24,175–179,50.3,42,8.3
Male,20–24,180–184,51.2,42.9,8.3
Male,20–24,185–189,51.8,43.5,8.3
Male,20–24,190+,52.7,44.4,8.3
Male,25–29,160–164,49.4,41.1,8.3
Male,25–29,165–169,49.9,41.6,8.3
Male,25–29,170–174,50.9,42.6,8.3
Male,25–29,175–179,51.9,43.6,8.3
Male,25–29,180–184,52.8,44.5,8.3
Male,25–29,185–189,54.2,45.9,8.3
Male,25–29,190+,56.2,47.9,8.3
Male,30–34,160–164,51.1,42.8,8.3
Male,30–34,165–169,51.8,43.5,8.3
Male,30–34,170–174,52.6,44.3,8.3
Male,30–34,175–179,53.5,45.2,8.3
Male,30–34,180–184,54.5,46.2,8.3
Male,30–34,185–189,55.9,47.6,8.3
Male,30–34,190+,57.3,49,8.3
Male,35–39,160–164,47.8,38,9.8
Male,35–39,165–169,50.2,40.4,9.8
Male,35–39,170–174,52,42.2,9.8
Male,35–39,175–179,53.6,43.8,9.8
Male,35–39,180–184,54.9,45.1,9.8
Male,35–39,185–189,56.1,46.3,9.8
Male,35–39,190+,57.2,47.5,9.7
Male,40–44,160–164,47.9,38.6,9.3
Male,40–44,165–169,49.9,40.6,9.3
Male,40–44,170–174,51.8,42.5,9.3
Male,40–44,175–179,53.4,44,9.4
Male,40–44,180–184,54.5,45.2,9.3
Male,40–44,185–189,55.8,46.4,9.4
Male,40–44,190+,56.9,47.6,9.3
Male,45–49,160–164,48.2,39.7,8.5
Male,45–49,165–169,50,41.5,8.5
Male,45–49,170–174,51.6,43.1,8.5
Male,45–49,175–179,53,44.4,8.6
Male,45–49,180–184,54.2,45.7,8.5
Male,45–49,185–189,55.4,46.8,8.6
Male,45–49,190+,56.4,47.9,8.5
Male,50–54,160–164,45.9,37.4,8.5
Male,50–54,165–169,47.7,39.2,8.5
Male,50–54,170–174,49.4,40.8,8.6
Male,50–54,175–179,50.9,42.4,8.5
Male,50–54,180–184,52.1,43.6,8.5
Male,50–54,185–189,53.1,44.5,8.6
Male,50–54,190+,54.1,45.5,8.6
Male,55–59,160–164,42.8,34.3,8.5
Male,55–59,165–169,45.1,36.6,8.5
Male,55–59,170–174,47.4,38.9,8.5
Male,55–59,175–179,49.3,40.9,8.4
Male,55–59,180–184,51.1,42.6,8.5
Male,55–59,185–189,52.4,43.9,8.5
Male,55–59,190+,53.5,45.1,8.4
Male,60–64,160–164,41,32.5,8.5
Male,60–64,165–169,43.2,34.7,8.5
Male,60–64,170–174,45.7,37.3,8.4
Male,60–64,175–179,47.6,39.1,8.5
Male,60–64,180–184,49.2,40.7,8.5
Male,60–64,185–189,50.7,42.2,8.5
Male,60–64,190+,52,43.5,8.5
Male,65–69,160–164,40.2,32.8,7.4
Male,65–69,165–169,42,34.6,7.4
Male,65–69,170–174,43.6,36.3,7.3
Male,65–69,175–179,45.3,37.9,7.4
Male,65–69,180–184,46.9,39.6,7.3
Male,65–69,185–189,48.9,41.6,7.3
Male,65–69,190+,50.6,43.2,7.4
Male,70–74,160–164,37.2,29.6,7.6
Male,70–74,165–169,39.1,31.5,7.6
Male,70–74,170–174,41.1,33.5,7.6
Male,70–74,175–179,42.7,35.2,7.5
Male,70–74,180–184,44.4,36.8,7.6
Male,70–74,185–189,46.4,38.9,7.5
Male,70–74,190+,47.6,40,7.6
Male,75–79,160–164,34.7,26.8,7.9
Male,75–79,165–169,35.9,28,7.9
Male,75–79,170–174,37.5,29.6,7.9
Male,75–79,175–179,39,31.1,7.9
Male,75–79,180–184,40.6,32.7,7.9
Male,75–79,185–189,42.7,34.8,7.9
Male,75–79,190+,45.4,37.5,7.9
Male,80–90,160–164,29.1,21.6,7.5
Male,80–90,165–169,31.2,23.6,7.6
Male,80–90,170–174,33,25.4,7.6
Male,80–90,175–179,34,26.4,7.6
Male,80–90,180–184,35.8,28.3,7.5
Male,80–90,185–189,39.5,32,7.5
Male,80–90,190+,40.9,33.3,7.6
Female,17–19,150–154,27.8,21.6,6.2
Female,17–19,155–159,29.2,22.9,6.3
Female,17–19,160–164,30.2,24,6.2
Female,17–19,165–169,31.2,25,6.2
Female,17–19,170–174,32.2,26,6.2
Female,17–19,175–179,33,26.7,6.3
Female,17–19,180–184,33.8,27.6,6.2
Female,20–24,150–154,29.1,23.7,5.4
Female,20–24,155–159,30.2,24.8,5.4
Female,20–24,160–164,31.5,26.1,5.4
Female,20–24,165–169,32.5,27.1,5.4
Female,20–24,170–174,33.4,28,5.4
Female,20–24,175–179,34.5,29,5.5
Female,20–24,180–184,35,29.6,5.4
Female,25–29,150–154,30.8,25.2,5.6
Female,25–29,155–159,31.5,25.9,5.6
Female,25–29,160–164,32.3,26.7,5.6
Female,25–29,165–169,33.3,27.7,5.6
Female,25–29,170–174,34.2,28.6,5.6
Female,25–29,175–179,35.3,29.7,5.6
Female,25–29,180–184,36.4,30.8,5.6
Female,30–34,150–154,31.4,25.6,5.8
Female,30–34,155–159,32,26.2,5.8
Female,30–34,160–164,32.7,26.9,5.8
Female,30–34,165–169,33.7,27.9,5.8
Female,30–34,170–174,34.6,28.8,5.8
Female,30–34,175–179,35.8,30,5.8
Female,30–34,180–184,37,31.2,5.8
Female,35–39,150–154,31,24.8,6.2
Female,35–39,155–159,32.2,26.1,6.1
Female,35–39,160–164,33.2,27,6.2
Female,35–39,165–169,34.3,28.2,6.1
Female,35–39,170–174,35.3,29.1,6.2
Female,35–39,175–179,36.5,30.3,6.2
Female,35–39,180–184,37.6,31.4,6.2
Female,40–44,150–154,31.5,25.3,6.2
Female,40–44,155–159,32.7,26.4,6.3
Female,40–44,160–164,33.7,27.4,6.3
Female,40–44,165–169,34.8,28.6,6.2
Female,40–44,170–174,35.8,29.6,6.2
Female,40–44,175–179,37.1,30.8,6.3
Female,40–44,180–184,38,31.8,6.2
Female,45–49,150–154,29.8,23.7,6.1
Female,45–49,155–159,31.4,25.3,6.1
Female,45–49,160–164,32.8,26.7,6.1
Female,45–49,165–169,34.1,28,6.1
Female,45–49,170–174,35.2,29.1,6.1
Female,45–49,175–179,36.2,30.1,6.1
Female,45–49,180–184,37,30.9,6.1
Female,50–54,150–154,28.2,22.3,5.9
Female,50–54,155–159,30.1,24.2,5.9
Female,50–54,160–164,31.5,25.6,5.9
Female,50–54,165–169,32.9,27,5.9
Female,50–54,170–174,33.9,28,5.9
Female,50–54,175–179,35.2,29.3,5.9
Female,50–54,180–184,35.6,29.7,5.9
Female,55–59,150–154,26.9,21.4,5.5
Female,55–59,155–159,28.8,23.3,5.5
Female,55–59,160–164,30.2,24.7,5.5
Female,55–59,165–169,31.2,25.7,5.5
Female,55–59,170–174,32,26.5,5.5
Female,55–59,175–179,32.5,27,5.5
Female,55–59,180–184,32.9,27.4,5.5
Female,60–64,150–154,25.8,20.5,5.3
Female,60–64,155–159,27.4,22.1,5.3
Female,60–64,160–164,28.9,23.6,5.3
Female,60–64,165–169,29.9,24.6,5.3
Female,60–64,170–174,30.6,25.4,5.2
Female,60–64,175–179,31.3,26,5.3
Female,60–64,180–184,31.5,26.2,5.3
Female,65–69,150–154,24.5,19.3,5.2
Female,65–69,155–159,26.2,21,5.2
Female,65–69,160–164,27.5,22.3,5.2
Female,65–69,165–169,28.6,23.4,5.2
Female,65–69,170–174,29.5,24.3,5.2
Female,65–69,175–179,30.3,25.1,5.2
Female,65–69,180–184,30.5,25.3,5.2
Female,70–74,150–154,23.4,18.5,4.9
Female,70–74,155–159,24.7,19.8,4.9
Female,70–74,160–164,26.1,21.2,4.9
Female,70–74,165–169,27.3,22.4,4.9
Female,70–74,170–174,28.1,23.2,4.9
Female,70–74,175–179,28.7,23.8,4.9
Female,70–74,180–184,29.2,24.3,4.9
Female,75–79,150–154,22.7,18.2,4.5
Female,75–79,155–159,23.3,18.8,4.5
Female,75–79,160–164,24,19.5,4.5
Female,75–79,165–169,24.9,20.4,4.5
Female,75–79,170–174,26.1,21.6,4.5
Female,75–79,175–179,27.6,23.1,4.5
Female,75–79,180–184,28.9,24.4,4.5
Female,80–90,150–154,19.9,15.9,4
Female,80–90,155–159,20.4,16.4,4
Female,80–90,160–164,21.2,17.1,4.1
Female,80–90,165–169,22.1,18,4.1
Female,80–90,170–174,23.8,19.7,4.1
Female,80–90,175–179,23,19,4
